source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,source_n_cells,target_n_cells,min_source_target_n_cells
Tuft cells,Macrophages IFN-activated,MDK,SDC3,0.7188422,0.0,0.3250355,1.6417627,1.1908722,0.027628243,0.91560745,0.0014495879066932,0.2112700601496873,288,818,288
Plasma cell cycling,Macrophages LYVE1,MIF,CD74_CXCR4,0.7188412,0.0,0.5116231,0.5683056,0.4139315,0.0024772256,0.93156207,0.1596032295622057,0.2112911373906883,72,48,48
Enterocytes,cDC2,HSPA1A,TLR4,0.09827384,1.0,0.009380748,0.022289246,-1.1258314,0.0003497976,0.64827627,1.0,0.2113118200963639,17919,203,203
B cell naive,B cell memory,CD22,PTPRC,0.71882975,0.0,0.4714623,1.5856879,0.75524914,0.007714264,0.9289097,0.039502323917205,0.2113122155341259,3019,5004,3019
Th naive,cDC2,SELPLG,SELL,0.09889532,0.0,0.009381859,0.40474465,0.15578064,0.001975405,0.6482898,0.297045138815224,0.2113856691557294,1182,203,203
Treg,Plasma cell,HMGB1,SDC1,0.7187426,0.003,0.49177396,0.3183335,0.024722993,0.0037549706,0.9302899,0.8370958708388179,0.2114176197870557,449,21820,449
Colonocytes DUOX2,Colonocytes,LGALS3BP,ITGB1,0.7187213,0.0,0.2816954,0.75767857,0.7574116,0.0036778138,0.9099115,0.0437668118169586,0.2114387033446288,4757,12656,4757
Th memory,Paneth cells,LRPAP1,SORT1,0.09979916,1.0,0.0093825525,-0.101033464,-0.13254339,0.0006083991,0.6482982,1.0,0.2114595169113202,8461,5623,5623
Macrophages IFN-activated,Macrophages FOLR2,CALR,ITGAV,0.71871215,0.0,0.31958702,0.8627308,0.564433,0.0068665766,0.91495204,0.039502323917205,0.2114597878044775,818,6473,818
Macrophages proliferating,ILC3,CALM1,PTPRA,0.7440822,0.009,0.25594375,0.21885563,0.20005037,0.0014091134,0.90590423,0.8512202782507279,0.2114808731665785,127,23,23
Macrophages proliferating,Plasma cell,LGALS1,PTPRC,0.8953265,0.0,0.2559424,0.6292828,0.5363506,0.0005406725,0.905904,0.4144856328074064,0.2115019594309088,127,21820,127
Stem cells,Tc,PLA2G2A,ITGA4,0.9376531,0.0,0.25592795,1.0738345,1.259447,0.008608581,0.9059016,0.0328186987433676,0.2115230465974454,2790,6712,2790
Treg,Colonocytes BEST4,CALM1,VIPR1,0.7186558,0.0,0.32372233,0.6770277,0.13248315,0.008297751,0.91545093,0.3437487577113273,0.2115230465974454,449,338,338
Macrophages IFN-activated,Tuft cells,TNF,VSIR,0.097912654,0.61,0.009383371,0.025223143,0.023196325,0.00040294617,0.64830816,1.0,0.2115333633631478,818,288,288
Tc,Tc naive,HLA-E,CD8A,0.7186257,0.0,0.27027276,0.33351102,0.16024435,0.0020991743,0.90820044,0.3860456939731708,0.2115652236370456,6712,406,406
Colonocytes BEST4,Macrophages FOLR2,PSEN1,NOTCH2,0.0968698,0.0,0.009383757,0.2070368,0.0845607,0.0013307827,0.64831287,0.8438548031223873,0.2116072085112236,338,6473,338
Monocytes inflammatory,NK cells,HLA-C,CD8A,0.7185678,0.915,0.4664563,0.2598328,-0.12197846,0.0024311286,0.92855644,1.0,0.2116074042851949,50,163,50
Tfh,Macrophages IFN-activated,TNFSF13B,HLA-DPB1,1.4447436,0.0,0.2511389,1.3864827,1.6562139,0.0012331748,0.9050934,0.1122171736490604,0.2116089872524577,1216,818,818
Treg,Tc naive,HLA-E,CD8A,0.7185275,0.0,0.27022904,0.3333888,0.18683356,0.0020988348,0.9081937,0.3863083039918152,0.2116495885417091,449,406,406
B cell germinal center,Macrophages proliferating,HLA-DQB1,LAG3,0.7185033,0.0,0.28684917,1.1294348,0.8422105,0.006228585,0.91065186,0.039502323917205,0.2116706820230456,1063,127,127
Macrophages LYVE1,Macrophages LYVE1,CXCL12,ITGB1,0.101083964,0.743,0.009383848,0.103677794,-0.10551664,0.0007172709,0.648314,1.0,0.2116810523555593,48,48,48
Macrophages FOLR2,Goblet cells,GRN,TNFRSF1A,0.78731126,0.0,0.25574595,0.9751248,1.0667328,0.0033957283,0.9058713,0.0578338345482352,0.2116917764064041,6473,9555,6473
Tc naive,Monocytes,HMGB1,CXCR4,0.7184968,0.64,0.5140816,0.057764173,-0.2939153,0.0006901266,0.9317147,1.0,0.2116917764064041,406,767,406
