source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,source_n_cells,target_n_cells,min_source_target_n_cells
Goblet cells,B cell memory,TFF3,CXCR4,3.2598538,0.0,8.083971,2.2886846,3.3482137,0.023195885,0.9818535,0.0001378377563331,6.67967215636398e-10,9555,5004,5004
Goblet cells,B cell naive,TFF3,CXCR4,3.1628096,0.0,7.1417823,2.1422982,3.1650596,0.0204924,0.9807159,0.0007115764330633,2.671853516943239e-09,9555,3019,3019
Goblet cells,Th effector,TFF3,CXCR4,3.0326104,0.0,5.8776965,1.9459035,3.0240648,0.016865272,0.978785,0.0017324866642253,6.0116358855169915e-09,9555,1258,1258
Goblet cells,Tc,TFF3,CXCR4,2.9552398,0.0,5.126516,1.8291712,2.9027941,0.014709859,0.97731787,0.0032982135683198,1.6698796750851116e-08,9555,6712,6712
Goblet cells,Th memory,TFF3,CXCR4,2.9510353,0.0,5.085695,1.8228557,2.9222307,0.014592729,0.97722906,0.0034400383252805,3.272926566441052e-08,9555,8461,8461
Goblet cells,B cell germinal center,TFF3,CXCR4,2.883996,0.0,4.434819,1.7217147,2.806785,0.012725128,0.97565454,0.0062001745367404,2.411112359137167e-07,9555,1063,1063
Goblet cells,ILC3,TFF3,CXCR4,2.8654628,0.0,4.2548842,1.693758,2.8127408,0.012208828,0.9751578,0.007323991480533,5.23605088131282e-07,9555,23,23
Macrophages proliferating,Stem cells,C1QB,C1QBP,2.4616704,0.0,5.493176,3.1904888,3.2680082,0.026498625,0.97807103,0.0002069417826995,6.41805890797617e-07,127,2790,127
Macrophages proliferating,T cells proliferating,HLA-B,CD3D,2.326663,0.0,5.1191673,1.3874354,1.6297352,0.0040670307,0.97730196,0.039502323917205,1.0685081536215249e-06,127,40,40
Macrophages proliferating,Th17,HLA-B,CD3D,2.299388,0.0,4.962661,1.3483101,1.6056666,0.0039426913,0.976955,0.039502323917205,1.4130533262225973e-06,127,3171,127
Goblet cells,Tfh,TFF3,CXCR4,2.8458705,0.0,4.064664,1.6642004,2.733988,0.011663014,0.97459775,0.0088445396973551,1.4130533262225973e-06,9555,1216,1216
Macrophages proliferating,TA cells,C1QB,C1QBP,2.2735505,0.0,4.2837787,2.9014115,2.922879,0.020664591,0.97523963,0.0006893836066068,1.603347147247987e-06,127,5824,127
Plasma cell cycling,T cells proliferating,HLA-B,CD3D,2.2644558,0.0,4.8971786,1.3303413,1.3911657,0.0038906673,0.976805,0.039502323917205,1.8056542960940865e-06,72,40,40
Stem cells,B cell memory,HMGB1,CXCR4,2.25298,0.0,4.730524,1.962341,2.3757706,0.0063504716,0.9764095,0.0155245495291704,2.0199741512639995e-06,2790,5004,2790
Goblet cells,Macrophages LYVE1,TFF3,CXCR4,2.8223765,0.0,3.8365657,1.6287619,2.6470406,0.011008518,0.97387296,0.0109410255148694,2.403867124806071e-06,9555,48,48
Plasma cell cycling,Th17,HLA-B,CD3D,2.2371807,0.0,4.747459,1.291216,1.3670971,0.0037717195,0.9764506,0.0399966420508256,2.7350037397476685e-06,72,3171,72
Macrophages FOLR2,Stem cells,C1QB,C1QBP,2.2150235,0.0,4.650181,2.8323922,3.2778163,0.022432085,0.9762114,0.0002756719502767,3.958648924057499e-06,6473,2790,2790
Macrophages proliferating,Macrophages proliferating,HLA-DRA,CD4,2.5520146,0.0,3.5869865,2.945897,2.7639904,0.015644744,0.9730033,0.0020218375489011,4.06211530902103e-06,127,127,127
Goblet cells,Treg,TFF3,CXCR4,2.7936156,0.0,3.5573292,1.5853767,2.6692343,0.010207285,0.9728941,0.0126661691267634,4.4893220853771074e-06,9555,449,449
Colonocytes DUOX2,T cells proliferating,HLA-B,CD3D,2.2063246,0.0,4.689736,1.2769933,1.3353574,0.00372586,0.9763096,0.0418634216925387,4.823734821455917e-06,4757,40,40
Stem cells,T cells proliferating,HLA-B,CD3D,2.187684,0.0,4.623216,1.2598836,1.378943,0.0036730126,0.9761438,0.0440191704530939,6.67587411978153e-06,2790,40,40
Goblet cells,cDC2,TFF3,CXCR4,2.7808394,0.0,3.4332886,1.5661025,2.6621325,0.009851367,0.9724222,0.0130786892766948,6.810020054466737e-06,9555,203,203
Colonocytes DUOX2,Th17,HLA-B,CD3D,2.1790497,0.0,4.546358,1.2378681,1.3112888,0.003611951,0.9759478,0.0467010506017558,7.220459469920649e-06,4757,3171,3171
Macrophages IFN-activated,Macrophages proliferating,TNFSF13B,HLA-DPB1,2.1623738,0.0,3.4662697,3.2936392,2.9117975,0.01702053,0.97255003,0.0014247654868136,9.294525599631546e-06,818,127,127
Stem cells,Th17,HLA-B,CD3D,2.1604092,0.0,4.4818726,1.2207583,1.3548743,0.003560719,0.9757796,0.0489485140893826,9.612153849115965e-06,2790,3171,2790
Stem cells,B cell naive,HMGB1,CXCR4,2.1559358,0.0,4.17918,1.8159546,2.1926162,0.005610322,0.9749394,0.0255319437623087,1.0597034178475908e-05,2790,3019,2790
Macrophages proliferating,Tc effector,HLA-B,CD3D,2.1549168,0.0,4.1336675,1.1412905,1.4879341,0.0032840797,0.9748053,0.0651645546747316,1.0935992201407362e-05,127,13119,127
Goblet cells,Monocytes,TFF3,CXCR4,2.7632473,0.0,3.2624865,1.5395635,2.603158,0.009361274,0.97172964,0.0155531380326605,1.1806714281511315e-05,9555,767,767
Th17,T cells proliferating,HLA-B,CD3D,2.1453722,0.0,4.4722247,1.2210431,1.0155509,0.003553054,0.9757541,0.0493401867242883,1.2527283935520183e-05,3171,40,40
Stem cells,Macrophages proliferating,APP,CD74,2.4643095,0.0,3.2152772,1.870171,2.391287,0.010786396,0.9715287,0.0118422304297127,1.271075837802539e-05,2790,127,127
Macrophages FOLR2,Macrophages proliferating,HLA-DRA,CD4,2.3292036,0.0,3.2119868,2.7681408,2.7169483,0.014009172,0.9715146,0.0024797482465058,1.2895565586094976e-05,6473,127,127
Th effector,T cells proliferating,HLA-B,CD3D,2.13878,0.0,4.4487014,1.2149926,0.980779,0.0035343654,0.9756917,0.0503840472558331,1.3839592304264592e-05,1258,40,40
Macrophages proliferating,Treg,HLA-B,CD3D,2.126052,0.0,3.9680374,1.0997941,1.35673,0.0031524915,0.9742982,0.0748583475306515,1.6660097382173956e-05,127,449,127
Goblet cells,Th naive,TFF3,CXCR4,2.748333,0.0,3.1176875,1.5170678,2.5575442,0.008945792,0.9710993,0.0178890596405337,1.7084345035337037e-05,9555,1182,1182
T cells proliferating,T cells proliferating,HLA-B,CD3D,2.1252966,0.0,4.4005847,1.2026207,1.0638199,0.0034961381,0.97556233,0.0524251962740271,1.7084345035337037e-05,40,40,40
Th17,Th17,HLA-B,CD3D,2.1180973,0.0,4.3354974,1.1819178,0.99148214,0.0034444279,0.9753841,0.0551795398452828,1.861117677646617e-05,3171,3171,3171
Plasma cell,T cells proliferating,HLA-B,CD3D,2.116414,0.0,4.368887,1.1945019,1.3067658,0.003470955,0.975476,0.0536966728083938,1.9971841819869945e-05,21820,40,40
Th effector,Th17,HLA-B,CD3D,2.1115055,0.0,4.312693,1.1758673,0.95671034,0.0034263108,0.9753207,0.0561822263057015,2.0436052759229605e-05,1258,3171,1258
Monocytes,T cells proliferating,HLA-B,CD3D,2.0981603,0.0,4.3037477,1.1777151,1.124713,0.0034192037,0.9752957,0.056574099594196,2.210274512585113e-05,767,40,40
T cells proliferating,Th17,HLA-B,CD3D,2.0980217,0.0,4.266047,1.1634954,1.0397513,0.0033892521,0.9751895,0.0582314204402891,2.2590929064953587e-05,40,3171,40
Plasma cell cycling,Tc effector,HLA-B,CD3D,2.0927095,0.0,3.9544141,1.0841964,1.2493646,0.0031416682,0.974255,0.0758254699493065,2.383469337744959e-05,72,13119,72
Macrophages IFN-activated,Macrophages proliferating,HLA-DRA,CD4,2.2120798,0.0,3.0148628,2.6747274,2.336367,0.0131494105,0.970625,0.0027651956521333,2.4341520404957465e-05,818,127,127
Plasma cell,Th17,HLA-B,CD3D,2.0891392,0.0,4.2353187,1.1553766,1.2826971,0.003364839,0.9751019,0.0599248903725826,2.4341520404957465e-05,21820,3171,3171
Neutrophils,T cells proliferating,HLA-B,CD3D,2.088406,0.002,4.26894,1.1687627,0.80208284,0.0033915502,0.9751977,0.2477851029771737,2.4596931248604105e-05,5,40,5
Macrophages proliferating,Macrophages proliferating,HLA-DRB1,CD4,2.211085,0.0,3.0131886,3.066311,2.7985368,0.018591184,0.97061706,0.0010976393834647,2.4853673614821347e-05,127,127,127
cDC2,Macrophages proliferating,HLA-DRA,CD4,2.2072217,0.0,3.0066864,2.6708536,2.2569509,0.013113748,0.97058624,0.0027959022364299,2.56318896187126e-05,203,127,127
Goblet cells,Tc naive,TFF3,CXCR4,2.7361295,0.0,2.9992054,1.4986573,2.5062356,0.008605823,0.97055066,0.0211850825904915,2.642208849707668e-05,9555,406,406
Macrophages proliferating,Th effector,HLA-B,CD3D,2.0854707,0.0,3.7351785,1.0416051,1.2649463,0.0029674917,0.97353,0.0915033423884449,2.6688150876772792e-05,127,1258,127
Goblet cells,B cell cycling,TFF3,CXCR4,2.7358286,0.0,2.9962842,1.4982028,2.5685167,0.008597441,0.9705367,0.0174769128328978,2.6688150876772792e-05,9555,224,224
Tc effector,T cells proliferating,HLA-B,CD3D,2.078754,0.0,4.234496,1.1599237,0.89301986,0.003364185,0.9750995,0.0599957514886608,2.9142619760880918e-05,13119,40,40
Tc,T cells proliferating,HLA-B,CD3D,2.07623,0.0,4.2254887,1.1575793,0.88859683,0.003357029,0.97507364,0.0605708551974081,2.9702700325323504e-05,6712,40,40
Th memory,T cells proliferating,HLA-B,CD3D,2.0748515,0.0,4.22057,1.1563339,0.91172844,0.0033531215,0.9750595,0.0607972769168961,2.99847372468854e-05,8461,40,40
Macrophages proliferating,Th memory,HLA-B,CD3D,2.0748236,0.0,3.6740837,1.0263873,1.2923481,0.0029189538,0.97331667,0.0963394402569115,3.0268105230649826e-05,127,8461,127
Macrophages FOLR2,T cells proliferating,HLA-B,CD3D,2.073955,0.0,4.21737,1.1554897,1.1980121,0.0033505792,0.9750503,0.0610004023151687,3.112619532497419e-05,6473,40,40
Monocytes,Th17,HLA-B,CD3D,2.0708854,0.0,4.1721706,1.1385897,1.1006444,0.00331467,0.9749189,0.0632255100533672,3.199626415045876e-05,767,3171,767
Macrophages proliferating,Tc,HLA-B,CD3D,2.0703208,0.0,3.648246,1.0198766,1.2738438,0.0028984265,0.9732249,0.0986007035434345,3.228894892512556e-05,127,6712,127
Colonocytes DUOX2,Macrophages proliferating,APP,CD74,2.431756,0.0,2.944775,1.7951252,2.3614721,0.009878933,0.9702878,0.0165019554170919,3.258296457784766e-05,4757,127,127
Tuft cells,B cell memory,TFF3,CXCR4,2.0671883,0.0,4.111735,1.5351064,1.0592753,0.011798079,0.97473985,0.0084274392976015,3.3772335508920947e-05,288,5004,288
Macrophages proliferating,Macrophages proliferating,HLA-DPA1,CD4,2.1550808,0.0,2.918931,3.162703,2.7556753,0.019272618,0.9701605,0.0009451132180752,3.437500564431088e-05,127,127,127
Plasma cell cycling,Treg,HLA-B,CD3D,2.0638447,0.0,3.7959666,1.0427,1.1181605,0.0030157862,0.97373724,0.0866257602112074,3.467833679890476e-05,72,449,72
Neutrophils,Th17,HLA-B,CD3D,2.0611315,0.001,4.1384273,1.1296374,0.7780142,0.0032878616,0.9748194,0.2850239025787888,3.55963143340612e-05,5,3171,5
ILC3,T cells proliferating,HLA-B,CD3D,2.0587888,0.0,4.1632495,1.1415797,0.9518042,0.003307582,0.9748927,0.0636876209825299,3.621495252012713e-05,23,40,23
Stem cells,Macrophages FOLR2,APP,CD74,2.2484264,0.0,2.8811412,1.6988788,2.2711394,0.009665459,0.96997124,0.0179971445355266,3.746819565390436e-05,2790,6473,2790
B cell memory,T cells proliferating,HLA-B,CD3D,2.0546436,0.0,4.1484566,1.13776,0.8598682,0.0032958295,0.9748491,0.0643699601096342,3.8422098195597296e-05,5004,40,40
Tc effector,Th17,HLA-B,CD3D,2.0514793,0.0,4.1050363,1.1207983,0.8689512,0.0032613333,0.97471976,0.0669103269166816,4.003854381191801e-05,13119,3171,3171
Tc,Th17,HLA-B,CD3D,2.048955,0.0,4.0963044,1.118454,0.8645282,0.003254396,0.97469354,0.0674182622096608,4.202217828394232e-05,6712,3171,3171
B cell cycling,B cell memory,HMGB1,CXCR4,2.047801,0.0,4.047164,1.7339165,1.7475296,0.005433098,0.9745443,0.0341140772071765,4.235743973925049e-05,224,5004,224
Th memory,Th17,HLA-B,CD3D,2.047577,0.0,4.091536,1.1172086,0.8876598,0.003250608,0.9746792,0.0677412311029232,4.2694031336025024e-05,8461,3171,3171
Macrophages FOLR2,Th17,HLA-B,CD3D,2.04668,0.0,4.088434,1.1163642,1.1739435,0.0032481432,0.9746698,0.0678642630236383,4.337120486189968e-05,6473,3171,3171
Macrophages IFN-activated,T cells proliferating,HLA-B,CD3D,2.0374207,0.0,4.086996,1.1219696,1.2854044,0.003247001,0.97466546,0.0679096327914013,4.474151259843579e-05,818,40,40
Colonocytes DUOX2,Tc effector,HLA-B,CD3D,2.0345783,0.0,3.7869065,1.0308485,1.1935563,0.0030085882,0.9737066,0.0872656090759286,4.7545965654533095e-05,4757,13119,4757
Macrophages proliferating,Tc naive,HLA-B,CD3D,2.0318413,0.0,3.4274464,0.9647125,1.1423881,0.0027230075,0.9723993,0.1206688329956594,4.826037734082879e-05,127,406,127
ILC3,Th17,HLA-B,CD3D,2.0315142,0.0,4.0359683,1.1024544,0.92773557,0.0032064607,0.9745099,0.0709680917491197,4.898010802773861e-05,23,3171,23
Macrophages proliferating,NK cells,HLA-B,CD3D,2.0290918,0.0,3.4116688,0.9607692,1.272018,0.0027104728,0.9723373,0.1223336556886206,5.043552566681161e-05,127,163,127
B cell memory,Th17,HLA-B,CD3D,2.0273685,0.0,4.0216274,1.0986347,0.8357996,0.0031950674,0.9744656,0.0718161657635884,5.117121225068033e-05,5004,3171,3171
Macrophages FOLR2,TA cells,C1QB,C1QBP,2.0269036,0.0,3.62638,2.5433152,2.9326873,0.017493356,0.97314644,0.0014643044863278,5.154104990313334e-05,6473,5824,5824
Stem cells,Th effector,HMGB1,CXCR4,2.0257366,0.0,3.439471,1.61956,2.0516214,0.0046173027,0.97244626,0.039502323917205,5.2658540026346126e-05,2790,1258,1258
NK cells,T cells proliferating,HLA-B,CD3D,2.0251212,0.0,4.043105,1.110679,0.8649393,0.0032121309,0.9745318,0.0706069402183266,5.303369571264028e-05,163,40,40
Macrophages proliferating,Macrophages proliferating,HLA-DPB1,CD4,2.0518537,0.0,2.7451959,3.2018147,2.689889,0.018447954,0.9692593,0.0011325995130477,5.303369571264028e-05,127,127,127
Macrophages immature,Macrophages proliferating,HLA-DRA,CD4,2.0493193,0.0,2.7409303,2.5448918,2.1262083,0.011954647,0.96923614,0.0035531178788252,5.3410180849848726e-05,551,127,127
Stem cells,Monocytes,RPS19,C5AR1,2.3357096,0.0,2.737556,2.8125863,1.5291489,0.007907225,0.9692177,0.0082172708570637,5.378799541495304e-05,2790,767,767
Plasma cell cycling,Th effector,HLA-B,CD3D,2.0232635,0.0,3.5732055,0.984511,1.0263768,0.0028388088,0.9729527,0.1056599058697471,5.492941544745719e-05,72,1258,72
Stem cells,Tc effector,HLA-B,CD3D,2.0159378,0.0,3.733193,1.0137388,1.2371417,0.0029659146,0.97352314,0.0916656074915025,6.001381186744378e-05,2790,13119,2790
Plasma cell cycling,Th memory,HLA-B,CD3D,2.0126164,0.0,3.51476,0.96929336,1.0537786,0.0027923756,0.97273487,0.1113529358233583,6.162343112683163e-05,72,8461,72
Macrophages IFN-activated,Th17,HLA-B,CD3D,2.0101457,0.0,3.9620461,1.0828443,1.2613358,0.0031477318,0.9742793,0.07530571040987,6.243621451565557e-05,818,3171,818
Plasma cell cycling,Tc,HLA-B,CD3D,2.0081136,0.0,3.4900427,0.9627825,1.0352743,0.0027727385,0.97264117,0.1137582789351204,6.490645750888075e-05,72,6712,72
Colonocytes DUOX2,Treg,HLA-B,CD3D,2.0057135,0.0,3.6351707,0.98935205,1.0623522,0.0028880388,0.973178,0.0997634478265549,6.657986168518637e-05,4757,449,449
Treg,T cells proliferating,HLA-B,CD3D,2.0052357,0.0,3.9721434,1.0924284,0.8385554,0.0031557537,0.9743111,0.0745797597926228,6.742453587514413e-05,449,40,40
Macrophages proliferating,B cell memory,HMGB1,CXCR4,2.0018885,0.0,3.8942504,1.6828027,1.9233773,0.0052278196,0.9740621,0.039502323917205,6.955947183662214e-05,127,5004,127
Colonocytes DUOX2,Macrophages FOLR2,APP,CD74,2.215873,0.0,2.6387498,1.6238331,2.2413244,0.008852301,0.96866465,0.0250380891397506,6.955947183662214e-05,4757,6473,4757
Macrophages proliferating,Paneth cells,C1QB,C1QBP,2.014206,0.0,2.6164892,2.5029116,2.5075228,0.012621727,0.9685358,0.003866479298021,7.304445055033614e-05,127,5623,127
NK cells,Th17,HLA-B,CD3D,1.9978464,0.0,3.919497,1.0715537,0.8408706,0.0031139278,0.97414356,0.0779674062333824,7.34860505847999e-05,163,3171,163
Macrophages proliferating,Th naive,HLA-B,CD3D,1.9966991,0.0,3.2257962,0.9143269,1.1388793,0.002562802,0.9715738,0.1444708903523076,7.437323553069133e-05,127,1182,127
Macrophages proliferating,Tfh,HLA-B,CD3D,1.9930959,0.0,3.2051208,0.90915453,1.1209401,0.002546376,0.97148496,0.1471849104368013,7.661444193685051e-05,127,1216,127
TA cells,Monocytes,RPS19,C5AR1,2.2303529,0.0,2.5927794,2.7169843,1.5653168,0.0074890493,0.9683968,0.0071353517470421,7.706666772675178e-05,5824,767,767
Macrophages IFN-activated,Stem cells,C1QB,C1QBP,1.9894167,0.0,3.879096,2.5048466,2.7298398,0.018712437,0.9740128,0.0010667236998355,7.88888518146416e-05,818,2790,818
Stem cells,Treg,HLA-B,CD3D,1.987073,0.0,3.5836093,0.9722424,1.1059375,0.0028470748,0.972991,0.1047327247283201,8.119646228676417e-05,2790,449,449
Macrophages FOLR2,Macrophages proliferating,HLA-DPA1,CD4,1.9831781,0.0,2.629612,2.978027,2.8277144,0.017362352,0.96861196,0.0015165866609667,8.306645315883504e-05,6473,127,127
Macrophages proliferating,Colonocytes DUOX2,C1QB,C1QBP,2.003524,0.0,2.5478175,2.4864862,2.6246223,0.01229046,0.968128,0.0039807983068507,8.306645315883504e-05,127,4757,127
Stem cells,cDC2,APP,CD74,2.0318031,0.0,2.545859,1.5270296,1.866046,0.008540679,0.96811616,0.0289544762647119,8.448288846783268e-05,2790,203,203
Treg,Th17,HLA-B,CD3D,1.977961,0.0,3.8507047,1.0533031,0.81448674,0.003059274,0.9739197,0.0826722404602446,8.591127350480208e-05,449,3171,449
Macrophages proliferating,Macrophages FOLR2,HLA-DRA,CD4,2.4283342,0.0,2.5326087,2.4563968,2.6028035,0.011046045,0.9680355,0.0042845934164485,8.639005723814416e-05,127,6473,127
Stem cells,Neutrophils,RPS19,C5AR1,2.3099754,0.0,2.5324895,2.6422582,1.5513238,0.0073149055,0.9680348,0.0076022249700094,8.687016862696504e-05,2790,5,5
Th17,Tc effector,HLA-B,CD3D,1.9736259,0.0,3.611269,0.9748982,0.8737496,0.0028690493,0.97309184,0.1021197570410416,8.83184684961165e-05,3171,13119,3171
Stem cells,Macrophages IFN-activated,APP,CD74,2.0086775,0.0,2.5100663,1.5086874,1.9216692,0.008420602,0.9678969,0.0303931739576345,9.12509118248626e-05,2790,818,818
Tuft cells,B cell naive,TFF3,CXCR4,1.970144,0.0,3.632511,1.38872,0.876121,0.010423009,0.9731685,0.0134266514345592,9.174429850245934e-05,288,3019,288
Plasma cell cycling,Tc naive,HLA-B,CD3D,1.969634,0.0,3.278818,0.9076184,0.90381867,0.0026049265,0.9717981,0.1375305949365141,9.323242285683408e-05,72,406,72
Colonocytes BEST4,T cells proliferating,HLA-B,CD3D,1.9674397,0.0,3.8372667,1.0577378,1.0141706,0.0030485978,0.9738753,0.0836078728075707,9.423114246422037e-05,338,40,40
Th effector,Tc effector,HLA-B,CD3D,1.9670341,0.0,3.5922742,0.96884775,0.8389778,0.0028539586,0.9730227,0.1038384000646831,9.47324932101992e-05,1258,13119,1258
Plasma cell cycling,NK cells,HLA-B,CD3D,1.9668845,0.0,3.2637246,0.9036751,1.0334485,0.0025929352,0.9717348,0.1393889406763277,9.523517122034398e-05,72,163,72
Goblet cells,Monocytes inflammatory,TFF3,CXCR4,2.68069,0.0,2.4609504,1.4150255,2.3737047,0.007061371,0.9675884,0.0320200406399363,9.62445089410578e-05,9555,50,50
Colonocytes DUOX2,Th effector,HLA-B,CD3D,1.9651325,0.0,3.4218457,0.931163,0.97056854,0.0027185578,0.97237736,0.1211985143218539,9.776846942791303e-05,4757,1258,1258
TA cells,Macrophages proliferating,APP,CD74,2.3698797,0.0,2.4306169,1.6524699,2.237922,0.008154071,0.9673934,0.0343892184873199,9.87910787544581e-05,5824,127,127
Macrophages IFN-activated,Macrophages FOLR2,TNFSF13B,HLA-DPB1,1.9634745,0.0,3.043585,3.06446,2.8635275,0.014945007,0.97075987,0.001757331658666,9.930437404926791e-05,818,6473,818
Stem cells,Monocytes inflammatory,RPS19,C5AR1,2.2956505,0.0,2.4183393,2.5474427,1.452363,0.006985191,0.96731347,0.0110900701003111,0.0001008522221836,2790,50,50
Macrophages proliferating,Macrophages IFN-activated,HLA-DRA,CD4,2.4144793,0.0,2.4144957,2.4015803,2.5514016,0.010530891,0.96728826,0.0048382652400891,0.0001024120132094,127,818,127
Plasma cell cycling,Monocytes,RPS19,C5AR1,2.0949712,0.0,2.4067435,2.5941482,1.1416351,0.006951698,0.96723735,0.039502323917205,0.0001039837465053,72,767,72
Goblet cells,T cells proliferating,HLA-B,CD3D,1.9589068,0.0,3.8068168,1.0498987,0.9755755,0.0030244065,0.9737737,0.0858347687854195,0.0001039837465053,9555,40,40
Monocytes,Macrophages proliferating,HLA-DRA,CD4,1.9559681,0.0,2.5838165,2.470426,1.8057152,0.011269389,0.96834373,0.0041233340705048,0.0001060979666901,767,127,127
Colonocytes DUOX2,Th memory,HLA-B,CD3D,1.9544853,0.0,3.365876,0.9159453,0.9979704,0.0026740916,0.97215503,0.1272549923236036,0.0001071630374211,4757,8461,4757
Goblet cells,Tc effector,TFF3,CXCR4,2.6745877,0.0,2.4017043,1.4058061,2.4960775,0.006891372,0.96720415,0.0215969415451739,0.0001071630374211,9555,13119,9555
T cells proliferating,Tc effector,HLA-B,CD3D,1.9535503,0.0,3.5534203,0.95647585,0.92201877,0.0028230904,0.9728796,0.107505271509964,0.0001076975628657,40,13119,40
TA cells,Neutrophils,RPS19,C5AR1,2.204619,0.0,2.398558,2.5466561,1.5874916,0.0069280546,0.96718335,0.0065353368076318,0.000108233414999,5824,5,5
B cell cycling,B cell naive,HMGB1,CXCR4,1.9507568,0.0,3.5754662,1.5875301,1.5643754,0.004799869,0.97296107,0.039502323917205,0.000109848931301,224,3019,224
Colonocytes DUOX2,Tc,HLA-B,CD3D,1.9499824,0.0,3.3422058,0.9094345,0.9794659,0.0026552863,0.9720593,0.129955102968572,0.0001109325751905,4757,6712,4757
Stem cells,Tc,HMGB1,CXCR4,1.948366,0.0,2.9999003,1.5028274,1.9303508,0.004027203,0.970554,0.039502323917205,0.0001147671139391,2790,6712,2790
Stem cells,Th effector,HLA-B,CD3D,1.946492,0.0,3.37331,0.9140534,1.014154,0.002679998,0.97218484,0.1263540480715049,0.0001153202109309,2790,1258,1258
Th17,Treg,HLA-B,CD3D,1.944761,0.0,3.4665709,0.9334018,0.7425454,0.0027540908,0.9725512,0.1163091106659177,0.0001158746342892,3171,449,449
Plasma cell,Tc effector,HLA-B,CD3D,1.9446678,0.0,3.5278249,0.948357,1.1649646,0.0028027552,0.97278404,0.110080824943193,0.0001164303839909,21820,13119,13119
Stem cells,Th memory,HMGB1,CXCR4,1.9441615,0.0,2.976013,1.4965122,1.9497875,0.003995136,0.9704395,0.039502323917205,0.0001181055909264,2790,8461,2790
Macrophages proliferating,B cell cycling,C1QB,C1QBP,1.9701927,0.0,2.3335345,2.4352818,2.3470364,0.011256776,0.96674436,0.0044488878069601,0.000119792734124,127,224,127
Colonocytes DUOX2,cDC2,APP,CD74,1.9992497,0.0,2.3316753,1.4519839,1.836231,0.0078221485,0.96673155,0.039502323917205,0.0001203577675852,4757,203,203
Colonocytes BEST4,Th17,HLA-B,CD3D,1.9401648,0.0,3.7199514,1.0186125,0.99010193,0.0029553943,0.9734773,0.0925864633828992,0.0001214918129624,338,3171,338
Th effector,Treg,HLA-B,CD3D,1.9381692,0.0,3.448337,0.92735136,0.7077736,0.0027396048,0.9724807,0.118478852432842,0.0001220608248324,1258,449,449
Stem cells,Th memory,HLA-B,CD3D,1.9358448,0.0,3.3181343,0.89883566,1.0415559,0.0026361626,0.971961,0.1328694728987179,0.0001243501329844,2790,8461,2790
Colonocytes DUOX2,Macrophages IFN-activated,APP,CD74,1.976124,0.0,2.2988937,1.4336417,1.8918543,0.0077121747,0.96650314,0.039502323917205,0.0001255027431414,4757,818,818
Plasma cell cycling,Th naive,HLA-B,CD3D,1.9344919,0.0,3.085912,0.8572329,0.90030974,0.0024516683,0.97095525,0.1645449990173331,0.0001255027431414,72,1182,72
Macrophages IFN-activated,cDC2,TNFSF13B,HLA-DPB1,1.9335744,0.0,2.9800436,3.0300307,2.4906805,0.014632999,0.9704589,0.0018279774963686,0.0001266606571069,818,203,203
Goblet cells,Th17,HLA-B,CD3D,1.9316319,0.0,3.6904325,1.0107734,0.95150685,0.0029319425,0.97337425,0.0950148319514324,0.0001284074722931,9555,3171,3171
Stem cells,Tc,HLA-B,CD3D,1.9313419,0.0,3.2947998,0.89232486,1.0230513,0.002617624,0.9718647,0.1354513538243581,0.0001289923957266,2790,6712,2790
TA cells,Monocytes inflammatory,RPS19,C5AR1,2.190294,0.0,2.2904444,2.4518409,1.4885309,0.006615777,0.9664435,0.0097184854003711,0.0001295786449741,5824,50,50
Macrophages IFN-activated,Macrophages IFN-activated,TNFSF13B,HLA-DPB1,1.931174,0.0,2.9749427,3.0272663,2.6499178,0.01460795,0.97043437,0.0018386930129332,0.0001301662200126,818,818,818
Plasma cell cycling,Tfh,HLA-B,CD3D,1.9308887,0.0,3.0661333,0.85206044,0.8823706,0.0024359545,0.9708644,0.1678174699304408,0.000130755120819,72,1216,72
Macrophages FOLR2,Macrophages FOLR2,HLA-DRA,CD4,2.2055233,0.0,2.2678385,2.2786407,2.5557613,0.009891242,0.96628225,0.0063498231605709,0.0001337195105652,6473,6473,6473
Monocytes,Tc effector,HLA-B,CD3D,1.926414,0.0,3.4752257,0.9315701,0.9829118,0.0027609668,0.9725845,0.1154283791021266,0.0001355140521554,767,13119,767
Plasma cell cycling,Neutrophils,RPS19,C5AR1,2.069237,0.0,2.2264576,2.42382,1.1638099,0.0064309556,0.96598095,0.0384042068000057,0.0001391389248559,72,5,5
T cells proliferating,Treg,HLA-B,CD3D,1.9246855,0.0,3.41104,0.91497946,0.7908146,0.0027099734,0.97233486,0.1224143207792678,0.0001391389248559,40,449,40
Paneth cells,Monocytes,RPS19,C5AR1,1.9573873,0.0,2.2176816,2.4693105,0.88056123,0.006405607,0.96591604,0.039502323917205,0.0001428115127734,5623,767,767
TA cells,B cell memory,TFF3,CXCR4,1.9214664,0.0,3.6264,1.4430494,1.5959934,0.010405475,0.9731465,0.0135387689133422,0.0001440463112681,5824,5004,5004
TA cells,B cell memory,HMGB1,CXCR4,1.920166,0.0,3.6220694,1.5918196,1.6975983,0.004862431,0.9731309,0.039502323917205,0.000145286410717,5824,5004,5004
